172.19.0.1 - - [09/Apr/2024:21:00:14 -0300] "GET /images/alm/azure.svg HTTP/1.1" 304 - "http://localhost:9000/projects/create" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAf"
172.19.0.1 - - [09/Apr/2024:21:00:14 -0300] "GET /images/alm/github.svg HTTP/1.1" 304 - "http://localhost:9000/projects/create" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAh"
172.19.0.1 - - [09/Apr/2024:21:00:14 -0300] "GET /images/alm/gitlab.svg HTTP/1.1" 304 - "http://localhost:9000/projects/create" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAi"
172.19.0.1 - - [09/Apr/2024:21:00:14 -0300] "GET /api/alm_settings/list? HTTP/1.1" 200 18 "http://localhost:9000/projects/create" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAe"
172.19.0.1 - - [09/Apr/2024:21:00:16 -0300] "GET /api/system/upgrades HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAW"
172.19.0.1 - - [09/Apr/2024:21:00:28 -0300] "GET /api/components/show?component=monitoringApplication HTTP/1.1" 404 80 "http://localhost:9000/projects/create?mode=manual" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAj"
172.19.0.1 - - [09/Apr/2024:21:00:29 -0300] "POST /api/projects/create HTTP/1.1" 200 114 "http://localhost:9000/projects/create?mode=manual" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAk"
172.19.0.1 - - [09/Apr/2024:21:00:29 -0300] "GET /api/components/show?component=monitoringApplication HTTP/1.1" 200 163 "http://localhost:9000/dashboard?id=monitoringApplication" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAl"
172.19.0.1 - - [09/Apr/2024:21:00:29 -0300] "GET /api/navigation/component?component=monitoringApplication HTTP/1.1" 200 659 "http://localhost:9000/dashboard?id=monitoringApplication" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAm"
172.19.0.1 - - [09/Apr/2024:21:00:29 -0300] "GET /api/project_branches/list?project=monitoringApplication HTTP/1.1" 200 99 "http://localhost:9000/dashboard?id=monitoringApplication" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAn"
172.19.0.1 - - [09/Apr/2024:21:00:29 -0300] "GET /api/alm_settings/get_binding?project=monitoringApplication HTTP/1.1" 404 88 "http://localhost:9000/dashboard?id=monitoringApplication" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAo"
172.19.0.1 - - [09/Apr/2024:21:00:29 -0300] "GET /api/ce/analysis_status?component=monitoringApplication HTTP/1.1" 200 90 "http://localhost:9000/dashboard?id=monitoringApplication" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAr"
172.19.0.1 - - [09/Apr/2024:21:00:29 -0300] "GET /api/ce/component?component=monitoringApplication HTTP/1.1" 200 12 "http://localhost:9000/dashboard?id=monitoringApplication" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAq"
172.19.0.1 - - [09/Apr/2024:21:00:29 -0300] "GET /api/settings/values?keys=sonar.core.serverBaseURL HTTP/1.1" 200 39 "http://localhost:9000/dashboard?id=monitoringApplication" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAp"
172.19.0.1 - - [09/Apr/2024:21:00:29 -0300] "GET /images/tutorials/azure-pipelines.svg HTTP/1.1" 304 - "http://localhost:9000/dashboard?id=monitoringApplication" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAs"
172.19.0.1 - - [09/Apr/2024:21:00:29 -0300] "GET /images/tutorials/manual.svg HTTP/1.1" 304 - "http://localhost:9000/dashboard?id=monitoringApplication" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAu"
172.19.0.1 - - [09/Apr/2024:21:00:29 -0300] "GET /images/tutorials/jenkins.svg HTTP/1.1" 304 - "http://localhost:9000/dashboard?id=monitoringApplication" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAv"
172.19.0.1 - - [09/Apr/2024:21:00:29 -0300] "GET /images/tutorials/github-actions.svg HTTP/1.1" 304 - "http://localhost:9000/dashboard?id=monitoringApplication" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAt"
172.19.0.1 - - [09/Apr/2024:21:00:30 -0300] "GET /api/settings/values? HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=monitoringApplication&selectedTutorial=local" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAw"
172.19.0.1 - - [09/Apr/2024:21:00:30 -0300] "GET /api/user_tokens/search?login=admin HTTP/1.1" 200 33 "http://localhost:9000/dashboard?id=monitoringApplication&selectedTutorial=local" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAx"
172.19.0.1 - - [09/Apr/2024:21:00:32 -0300] "GET /api/ce/component?component=monitoringApplication HTTP/1.1" 200 12 "http://localhost:9000/dashboard?id=monitoringApplication&selectedTutorial=local" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAy"
172.19.0.1 - - [09/Apr/2024:21:00:32 -0300] "POST /api/user_tokens/generate HTTP/1.1" 200 223 "http://localhost:9000/dashboard?id=monitoringApplication&selectedTutorial=local" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAz"
172.19.0.1 - - [09/Apr/2024:21:00:35 -0300] "GET /api/ce/component?component=monitoringApplication HTTP/1.1" 200 12 "http://localhost:9000/dashboard?id=monitoringApplication&selectedTutorial=local" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAA0"
172.19.0.1 - - [09/Apr/2024:21:00:38 -0300] "GET /api/ce/component?component=monitoringApplication HTTP/1.1" 200 12 "http://localhost:9000/dashboard?id=monitoringApplication&selectedTutorial=local" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAA1"
172.19.0.1 - - [09/Apr/2024:21:00:41 -0300] "GET /api/ce/component?component=monitoringApplication HTTP/1.1" 200 12 "http://localhost:9000/dashboard?id=monitoringApplication&selectedTutorial=local" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAA2"
172.19.0.1 - - [09/Apr/2024:21:00:44 -0300] "GET /api/ce/component?component=monitoringApplication HTTP/1.1" 200 12 "http://localhost:9000/dashboard?id=monitoringApplication&selectedTutorial=local" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAA3"
172.19.0.1 - - [09/Apr/2024:21:00:47 -0300] "GET /api/ce/component?component=monitoringApplication HTTP/1.1" 200 12 "http://localhost:9000/dashboard?id=monitoringApplication&selectedTutorial=local" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAA4"
172.19.0.1 - - [09/Apr/2024:21:00:50 -0300] "GET /api/ce/component?component=monitoringApplication HTTP/1.1" 200 12 "http://localhost:9000/dashboard?id=monitoringApplication&selectedTutorial=local" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAA5"
172.19.0.1 - - [09/Apr/2024:21:00:53 -0300] "GET /api/ce/component?component=monitoringApplication HTTP/1.1" 200 12 "http://localhost:9000/dashboard?id=monitoringApplication&selectedTutorial=local" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAA6"
172.19.0.1 - - [09/Apr/2024:21:00:56 -0300] "GET /api/ce/component?component=monitoringApplication HTTP/1.1" 200 12 "http://localhost:9000/dashboard?id=monitoringApplication&selectedTutorial=local" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAA7"
172.19.0.1 - - [09/Apr/2024:21:00:59 -0300] "GET /api/ce/component?component=monitoringApplication HTTP/1.1" 200 12 "http://localhost:9000/dashboard?id=monitoringApplication&selectedTutorial=local" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAA8"
172.19.0.1 - - [09/Apr/2024:21:01:03 -0300] "GET /api/ce/component?component=monitoringApplication HTTP/1.1" 200 12 "http://localhost:9000/dashboard?id=monitoringApplication&selectedTutorial=local" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAA9"
172.19.0.1 - - [09/Apr/2024:21:01:06 -0300] "GET /api/ce/component?component=monitoringApplication HTTP/1.1" 200 12 "http://localhost:9000/dashboard?id=monitoringApplication&selectedTutorial=local" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAA+"
172.19.0.1 - - [09/Apr/2024:21:01:09 -0300] "GET /api/ce/component?component=monitoringApplication HTTP/1.1" 200 12 "http://localhost:9000/dashboard?id=monitoringApplication&selectedTutorial=local" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAA/"
172.19.0.1 - - [09/Apr/2024:21:01:09 -0300] "GET /api/system/status HTTP/1.1" 200 76 "http://localhost:9000/admin/settings" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAABD"
172.19.0.1 - - [09/Apr/2024:21:01:09 -0300] "GET /api/navigation/settings HTTP/1.1" 200 41 "http://localhost:9000/admin/settings" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAABB"
172.19.0.1 - - [09/Apr/2024:21:01:09 -0300] "GET /api/languages/list HTTP/1.1" 200 695 "http://localhost:9000/admin/settings" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAABG"
172.19.0.1 - - [09/Apr/2024:21:01:10 -0300] "GET /api/rules/app HTTP/1.1" 200 - "http://localhost:9000/admin/settings" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAABH"
172.19.0.1 - - [09/Apr/2024:21:01:10 -0300] "GET /api/plugins/pending HTTP/1.1" 200 45 "http://localhost:9000/admin/settings" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAABE"
